InvoiceLineID,country,cancelled,name,orgID,currency,salesman,validInvoice,InvoiceID,LineNum,Edition,ValidFrom,ValidTo,Amount,Tax,IsTransferrable,Renewed,Computers,numberTransferable,numberStandard,ComputersToRenew
21143,United States,1,Six Flags,130f73f6-a705-488d-9c4e-abad91f53079,USD,4,0,cd5201de-54c1-4c1d-8370-6189b4baa218,0,P,1455753600000,1487376000000,5996,0,0,0,4,0,0,
21144,United States,0,Six Flags,130f73f6-a705-488d-9c4e-abad91f53079,USD,4,1,4b4ecf88-8d23-4152-a17a-17ff5f8db2b3,0,P,1455753600000,1487376000000,2998,0,0,0,4,0,4,
21145,United Kingdom,0,Tapestry Research,26794ba2-fbbb-4791-bda1-bbcac85233c8,GBP,,1,11a9b60b-350c-4e2c-967f-82e3cb0c6cfa,0,P,1450396800000,1482019200000,9590.3999999999996,1598.4000000000001,0,0,10,0,10,
21146,United States,0,Penton,e45b847f-b50b-4f4c-932d-ef9d9fed69be,USD,4,1,eb920c56-d315-4d35-90d3-766518f7c127,0,P,1455840000000,1487462400000,2998,0,0,0,2,0,2,
21147,Australia,0,Square Holes,14576c5b-90b8-4ef5-ba3d-e9ea48d5d3a2,AUD,,1,8800865d-c630-4901-93cb-a79b49977007,0,P,1455840000000,1487462400000,1575,143.18000000000001,0,0,1,0,1,
21148,Australia,0,Greater Building Society,ecdab5eb-31b8-482c-944d-d4785d17bdbd,AUD,,1,00e7eb7a-f4e4-4801-8e71-6798c97229f7,0,P,1455840000000,1487462400000,4725,429.55000000000001,0,0,3,0,3,
21149,Australia,0,Ernst and Young Services Pty Ltd,edb6a616-4948-4ea9-8fe2-64ee125f9cd1,AUD,4,1,f8dacb3a-3456-4f40-bb8e-193c3fb8a952,0,P,1450656000000,1458864000000,573.50999999999999,52.140000000000001,0,1,2,0,2,
21150,United Kingdom,1,PZ Cussons International,92174313-e470-479f-a8fc-60d43c769135,GBP,,0,ab29657b-fdde-498e-bb1f-676d92e4b877,0,P,1449792000000,1478736000000,3200.0799999999999,533.35000000000002,0,0,3,0,0,
21151,Singapore,1,Blackbox Research Pte Ltd,cfab7bcc-c915-4523-bb31-b8798229ed70,USD,4,0,f0da092b-2903-4f3c-b7a9-e79e1b0aed7d,0,P,1456185600000,1487808000000,1499,0,0,0,1,0,0,
21152,Australia,1,Jigsaw Strategic Research (Australia),7f5db4b9-dea6-442f-b876-781305ab9030,AUD,4,0,89b210c4-5802-4980-b40a-427a2c52d7a0,0,P,1456099200000,1487721600000,12600,1145.4500000000001,0,0,10,0,0,
21153,Australia,1,BT Financial Group (BTFG),e31978a0-32f0-467f-826f-ea2ec4548d7c,AUD,704,0,58536ad7-cc27-4a94-b940-2d9953f51ce0,0,P,1456272000000,1487894400000,3150,286.36000000000001,0,0,2,0,0,
21154,United States,0,Collaborative Marketing Research,474f27a7-3037-4212-8130-93d2af295622,USD,,1,6536d42a-5484-4175-a8a8-4ae72b32d2e2,0,P,1450828800000,1482451200000,1499,0,0,0,1,0,1,
21155,Australia,0,Energy Action,b3ef8fec-e97b-4626-92cc-039bcafba46c,AUD,,1,427d63f4-5c44-404c-be0d-060967374fd0,0,P,1456358400000,1487980800000,1575,143.18000000000001,0,0,1,0,1,
21156,Australia,1,Pernod Ricard Australia (Pernod Ricard Winemakers Pty Ltd),c5564d1b-1c4b-4738-93fb-29841381750d,AUD,,0,12dd407c-fcb2-41a7-b0f8-cae92652e226,0,P,1456444800000,1488067200000,4725,429.55000000000001,0,0,3,0,0,
21157,Australia,0,Maidstone Consulting,59611fcb-5cc0-400f-9f37-2cbad36b1470,AUD,,1,184ad2c7-87c1-4d4b-9b81-2d1d7319c1f2,0,P,1451260800000,1482883200000,1575,143.18000000000001,0,0,1,0,1,
21158,Australia,0,CanvasU,f6fdfcfa-1edb-49b1-b29d-b54067e35034,AUD,,1,9398c8ef-3f09-4c8d-8e41-45272a1de300,0,P,1456876800000,1488412800000,1575,143.18000000000001,0,0,1,0,1,
21159,Australia,0,Down To Earth Research,b0e43037-c75f-43af-9999-70c1b4bc6b25,AUD,,1,8cab67ec-db17-4360-b13e-8e120937ba41,0,P,1456876800000,1488412800000,1575,143.18000000000001,0,0,1,0,1,
21160,United Kingdom,0,Truth Consulting UK,97a25b84-a334-4805-8059-ebb633897b2b,GBP,,1,469e8ab4-dbfe-421f-b21c-5e557c041544,0,P,1456963200000,1488499200000,9590.3999999999996,1598.4000000000001,0,0,10,0,10,
21161,Australia,1,Wallis Consulting Group,0602ddd5-682b-4613-a95b-705a3c955bdf,AUD,704,0,27a6ad57-2360-43f7-bf6a-f5c5565675c1,0,P,1456963200000,1488499200000,4725,429.55000000000001,0,0,3,0,0,
21162,Australia,0,MCM Entertainment Group,5f1f3b89-6d14-4db6-9afb-8daf59263c52,AUD,,1,442b8ae1-6f87-4f16-b757-e02700599467,0,P,1457136000000,1488672000000,1575,143.18000000000001,0,0,1,0,1,
21163,United States,1,Actionable Research,8b17f519-ece3-46e4-b18c-41f8ef32c12f,USD,,0,8628654c-9efc-4d2d-8a0a-868aa52df61b,0,P,1457136000000,1488672000000,1499,0,0,0,1,0,0,
21164,United States,0,Brightwork Partners,4ef05f85-d90c-4535-b876-3455b22ce55a,USD,,1,a06d91e0-84de-479f-9f27-a519f04a61fa,0,P,1457136000000,1488672000000,1499,0,0,0,1,0,1,
21165,Germany,1,Jan's Test Company,720a6e23-fe16-4859-bdd7-86eb7acafbeb,EUR,627,0,861826db-1c23-49d2-9e06-a937f4e43258,0,P,1457222400000,1488758400000,5275.1999999999998,879.20000000000005,0,0,4,0,0,
21166,Australia,1,Millward Brown - Australia,520db807-acdc-4d65-ad73-14468a7c7ecf,AUD,,0,6981bf0a-d84d-43e1-be9a-aa2457d77e16,0,P,1456790400000,1488326400000,7087.5,644.32000000000005,0,0,6,0,0,6
